PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Lieze, M; Jelle, V; Benedicte, D; Nico, V; Mario, M; Van Dyck, D				Lieze, Mertens; Jelle, Van Cauwenberg; Benedicte, Deforche; Nico, Van de Weghe; Mario, Matthys; Van Dyck, Delfien			Using virtual reality to investigate physical environmental factors related to cycling in older adults: A comparison between two methodologies	JOURNAL OF TRANSPORT & HEALTH																	Matthys, Mario/AAW-3244-2021	Matthys, Mario/0000-0002-6861-9980; Van Dyck, Delfien/0000-0003-1783-9075												2214-1405					DEC	2020	19								100921	10.1016/j.jth.2020.100921								WOS:000599868100012						
J	Hu, ZT; Qin, XJ				Hu, Zhongtian; Qin, Xujia			Extended interactive and procedural modeling method for ancient chinese architecture	MULTIMEDIA TOOLS AND APPLICATIONS																														1380-7501	1573-7721				FEB	2021	80	4					5773	5807		10.1007/s11042-020-09744-2		OCT 2020						WOS:000576875100001						
J	Bruha, L; Lastovicka, J; Palaty, T; Stefanova, E; Stych, P				Bruha, Lukas; Lastovicka, Josef; Palaty, Tomas; Stefanova, Eva; Stych, Premysl			Reconstruction of Lost Cultural Heritage Sites and Landscapes: Context of Ancient Objects in Time and Space	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	Laštovička, Josef/AAB-6892-2020	Laštovička, Josef/0000-0002-2430-1479; Stych, Premysl/0000-0002-0307-9688													2220-9964				OCT	2020	9	10							604	10.3390/ijgi9100604								WOS:000586170900001						
J	Metze, T				Metze, Tamara			Visualization in environmental policy and planning: a systematic review and research agenda	JOURNAL OF ENVIRONMENTAL POLICY & PLANNING																		Metze, Tamara/0000-0002-6103-5958												1523-908X	1522-7200				SEP 2	2020	22	5			SI		745	760		10.1080/1523908X.2020.1798751		AUG 2020						WOS:000562214800001						
J	De Leeuw, D; De Maeyer, P; De Cock, L				De Leeuw, Dries; De Maeyer, Philippe; De Cock, Laure			A Gamification-Based Approach on Indoor Wayfinding Research	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	De Maeyer, Philippe A.M./F-2985-2011	De Maeyer, Philippe A.M./0000-0001-8902-3855; De Leeuw, Dries/0000-0001-9873-4691; De Cock, Laure/0000-0002-6511-6974													2220-9964				JUL	2020	9	7							423	10.3390/ijgi9070423								WOS:000554811700001						
J	Pepe, M; Costantino, D; Alfio, VS; Angelini, MG; Garofalo, AR				Pepe, Massimiliano; Costantino, Domenica; Alfio, Vincenzo Saverio; Angelini, Maria Giuseppa; Garofalo, Alfredo Restuccia			A CityGML Multiscale Approach for the Conservation and Management of Cultural Heritage: The Case Study of the Old Town of Taranto (Italy)	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	Costantino, Domenica/B-2924-2012	Costantino, Domenica/0000-0002-1909-9261; PEPE, MASSIMILIANO/0000-0003-2508-5066													2220-9964				JUL	2020	9	7							449	10.3390/ijgi9070449								WOS:000557189000001						
J	Kilsedar, CE; Brovelli, MA				Kilsedar, Candan Eylul; Brovelli, Maria Antonia			Multidimensional Visualization and Processing of Big Open Urban Geospatial Data on the Web	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	Brovelli, Maria Antonia/N-7285-2019	Brovelli, Maria Antonia/0000-0003-3161-5561													2220-9964				JUL	2020	9	7							434	10.3390/ijgi9070434								WOS:000554204500001						
J	Buyukdemircioglu, M; Kocaman, S				Buyukdemircioglu, Mehmet; Kocaman, Sultan			Reconstruction and Efficient Visualization of Heterogeneous 3D City Models	REMOTE SENSING																	Buyukdemircioglu, Mehmet/ABA-4631-2021; Kocaman, Sultan/L-4892-2015	Buyukdemircioglu, Mehmet/0000-0002-3618-3414; Kocaman, Sultan/0000-0002-2775-7914													2072-4292				JUL	2020	12	13							2128	10.3390/rs12132128								WOS:000550822600001						
J	Alvarez, M; Raposo, JF; Miranda, M; Bello, A; Barbero, M				Alvarez, Marina; Raposo, Javier Fco.; Miranda, Monica; Bello, Ana; Barbero, Miguel			Web 3D: a CityGML viewer for cross-domain problem resolution	APPLIED GEOMATICS																		MIRANDA MARTINEZ, MONICA/0000-0001-8647-3041; BELLO PATRICIO, ANA BELEN/0000-0002-0108-7617; Barbero Alvarez, Miguel Antonio/0000-0003-0695-4035												1866-9298	1866-928X				MAR	2021	13	1					71	87		10.1007/s12518-020-00325-4		JUN 2020						WOS:000542113200002						
J	Grilli, E; Remondino, F				Grilli, Eleonora; Remondino, Fabio			Machine Learning Generalisation across Different 3D Architectural Heritage	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	Remondino, Fabio/C-5503-2018; Grilli, Eleonora/AAU-7927-2020	Remondino, Fabio/0000-0001-6097-5342; Grilli, Eleonora/0000-0003-3400-9364													2220-9964				JUN	2020	9	6							379	10.3390/ijgi9060379								WOS:000551063200001						
J	Brusk, J; Engstrom, H				Brusk, Jenny; Engstrom, Henrik			Marvinter: A case study of an inclusive transmedia storytelling production	CONVERGENCE-THE INTERNATIONAL JOURNAL OF RESEARCH INTO NEW MEDIA TECHNOLOGIES																	Brusk, Jenny/ABE-1690-2020; Engström, Henrik/AAD-9979-2020	Engström, Henrik/0000-0002-9972-4716; Brusk, Jenny/0000-0001-9251-6554												1354-8565	1748-7382				FEB	2021	27	1					103	123	1354856520923972	10.1177/1354856520923972		MAY 2020						WOS:000536640400001						
J	Constantinescu, TI; Devisch, O; Huybrechts, L				Constantinescu, Teodora Iulia; Devisch, Oswald; Huybrechts, Liesbeth			Participation, for Whom? The Potential of Gamified Participatory Artefacts in Uncovering Power Relations within Urban Renewal Projects	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																															2220-9964				MAY	2020	9	5							319	10.3390/ijgi9050319								WOS:000541105200013						
J	Kim, S; Kim, D; Choi, S				Kim, Suzi; Kim, Dodam; Choi, Sunghee			CityCraft: 3D virtual city creation from a single image	VISUAL COMPUTER																														0178-2789	1432-2315				MAY	2020	36	5					911	924		10.1007/s00371-019-01701-x								WOS:000530043100004						
