PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Ascione, F; Borrelli, M; De Masi, RF; Vanoli, GP				Ascione, Fabrizio; Borrelli, Martina; De Masi, Rosa Francesca; Vanoli, Giuseppe Peter			Hourly operational assessment of HVAC systems in Mediterranean Nearly Zero-Energy Buildings: Experimental evaluation of the potential of ground cooling of ventilation air	RENEWABLE ENERGY																	Ascione, Fabrizio/AAV-1576-2021	Ascione, Fabrizio/0000-0001-7466-3884												0960-1481					AUG	2020	155						950	968		10.1016/j.renene.2020.03.180								WOS:000537825800079						
J	Arumagi, E; Kalamees, T				Arumagi, Endrik; Kalamees, Targo			Cost and Energy Reduction of a New nZEB Wooden Building	ENERGIES																		Arumagi, Endrik/0000-0001-8404-7639													1996-1073				JUL	2020	13	14							3570	10.3390/en13143570								WOS:000554140400001						
J	Soilan, M; Justo, A; Sanchez-Rodriguez, A; Riveiro, B				Soilan, Mario; Justo, Andres; Sanchez-Rodriguez, Ana; Riveiro, Belen			3D Point Cloud to BIM: Semi-Automated Framework to Define IFC Alignment Entities from MLS-Acquired LiDAR Data of Highway Roads	REMOTE SENSING																	Rodríguez, Ana Sánchez/X-2236-2019; Soilan, Mario/I-4030-2015; Riveiro, Belen/L-6215-2014	Rodríguez, Ana Sánchez/0000-0002-8232-2104; Soilan, Mario/0000-0001-6545-2225; Justo, Andres/0000-0003-2072-4076; Riveiro, Belen/0000-0002-1497-4370													2072-4292				JUL	2020	12	14							2301	10.3390/rs12142301								WOS:000554270600001						
J	Andriasyan, M; Moyano, J; Nieto-Julian, JE; Anton, D				Andriasyan, Mesrop; Moyano, Juan; Nieto-Julian, Juan Enrique; Anton, Daniel			From Point Cloud Data to Building Information Modelling: An Automatic Parametric Workflow for Heritage	REMOTE SENSING																	Campos, Juan José JJ Moyano/G-4579-2015; Moyano, Juan/AAT-7676-2020; Antón, Daniel/F-5206-2015; JULIAN, ENRIQUE NIETO/ABB-9380-2020	Campos, Juan José JJ Moyano/0000-0002-2186-6159; Moyano, Juan/0000-0002-2186-6159; Antón, Daniel/0000-0002-4267-2433; JULIAN, ENRIQUE NIETO/0000-0002-1413-3811; Andriasyan, Mesrop/0000-0002-0636-7386													2072-4292				APR	2020	12	7							1094	10.3390/rs12071094								WOS:000537709600044						
J	Fedorczak-Cisak, M; Kotowicz, A; Radziszewska-Zielina, E; Sroka, B; Tatara, T; Barnas, K				Fedorczak-Cisak, Malgorzata; Kotowicz, Anna; Radziszewska-Zielina, Elzbieta; Sroka, Bartlomiej; Tatara, Tadeusz; Barnas, Krzysztof			Multi-Criteria Optimisation of an Experimental Complex of Single-Family Nearly Zero-Energy Buildings	ENERGIES																	Fedorczak-Cisak, Małgorzata/AAD-7740-2021; Tatara, Tadeusz/C-2737-2019	Fedorczak-Cisak, Małgorzata/0000-0003-1125-4068; Radziszewska-Zielina, Elzbieta/0000-0002-3237-4360; Tatara, Tadeusz/0000-0002-4071-2358; Barnas, Krzysztof/0000-0003-4524-1871; Sroka, Bartlomiej/0000-0001-8845-2789													1996-1073				APR	2020	13	7							1541	10.3390/en13071541								WOS:000537688400010						
J	Moran, P; O'Connell, J; Goggins, J				Moran, Paul; O'Connell, John; Goggins, Jamie			Sustainable energy efficiency retrofits as residenial buildings move towards nearly zero energy building (NZEB) standards	ENERGY AND BUILDINGS																	Goggins, Jamie/K-5556-2019	Goggins, Jamie/0000-0001-7899-0161												0378-7788	1872-6178				MAR 15	2020	211								109816	10.1016/j.enbuild.2020.109816								WOS:000531464500009						
J	Usmani, ARA; Elshafey, A; Gheisari, M; Chai, C; Aminudin, EB; Tan, CS				Usmani, Abdul Rahman Ahsan; Elshafey, Abdalrahman; Gheisari, Masoud; Chai, Changsaar; Aminudin, Eeydzah Binti; Tan, Cher Siang			A scan to as-built building information modeling workflow: a case study in Malaysia	JOURNAL OF ENGINEERING DESIGN AND TECHNOLOGY																	CHAI, CHANGSAAR/AAP-8265-2020	CHAI, CHANGSAAR/0000-0001-7733-1690												1726-0531						2020	18	4					923	940		10.1108/JEDT-07-2019-0182		DEC 2019						WOS:000504816400001						
J	Kaewunruen, S; Sresakoolchai, J; Kerinnonta, L				Kaewunruen, Sakdirat; Sresakoolchai, Jessada; Kerinnonta, Lalida			Potential Reconstruction Design of an Existing Townhouse in Washington DC for Approaching Net Zero Energy Building Goal	SUSTAINABILITY																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538													2071-1050				DEC	2019	11	23							6631	10.3390/su11236631								WOS:000508186400103						
J	Wei, YJ; Akinci, B				Wei, Yujie; Akinci, Burcu			A vision and learning-based indoor localization and semantic mapping framework for facility operations and management	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				NOV	2019	107								102915	10.1016/j.autcon.2019.102915								WOS:000494887600012						
J	Mellado, F; Wong, PF; Amano, K; Johnson, C; Lou, ECW				Mellado, Felipe; Wong, Phui Fung; Amano, Kinjiro; Johnson, Christopher; Lou, Eric C. W.			Digitisation of existing buildings to support building assessment schemes: viability of automated sustainability-led design scan-to-BIM process	ARCHITECTURAL ENGINEERING AND DESIGN MANAGEMENT																	Lou, Eric C.W./J-2467-2016; Amano, Kinjiro/A-8263-2011	Lou, Eric C.W./0000-0001-7099-1426; Amano, Kinjiro/0000-0001-7992-9418; Mellado, Felipe/0000-0002-5874-821X												1745-2007	1752-7589				MAR 3	2020	16	2					84	99		10.1080/17452007.2019.1674126		OCT 2019						WOS:000492242800001						
J	Liu, ZJ; Zhou, QX; Tian, ZY; He, BJ; Jin, GY				Liu, Zhijian; Zhou, Qingxu; Tian, Zhiyong; He, Bao-jie; Jin, Guangya			A comprehensive analysis on definitions, development, and policies of nearly zero energy buildings in China	RENEWABLE & SUSTAINABLE ENERGY REVIEWS																	He, Baojie/J-4430-2019; Tian, Zhiyong/O-3633-2015	He, Baojie/0000-0002-8841-0711; Liu, Zhijian/0000-0003-1841-2671; Tian, Zhiyong/0000-0001-7113-9702												1364-0321	1879-0690				OCT	2019	114								109314	10.1016/j.rser.2019.109314								WOS:000488871200001						
J	Kaewunruen, S; Lian, Q				Kaewunruen, Sakdirat; Lian, Qiang			Digital twin aided sustainability-based lifecycle management for railway turnout systems	JOURNAL OF CLEANER PRODUCTION																	Kaewunruen, Sakdirat/AAE-2374-2020	Kaewunruen, Sakdirat/0000-0003-2153-3538												0959-6526	1879-1786				AUG 10	2019	228						1537	1551		10.1016/j.jclepro.2019.04.156								WOS:000470947000128						
J	Tahmasebinia, F; Fogerty, D; Wu, LO; Li, ZC; Sepasgozar, SME; Zhang, K; Sepasgozar, S; Marroquin, FA				Tahmasebinia, Faham; Fogerty, Daniel; Wu, Lang Oliver; Li, Zhichao; Sepasgozar, Saleh Mohammad Ebrahimzadeh; Zhang, Kai; Sepasgozar, Samad; Marroquin, Fernando Alonso			Numerical Analysis of the Creep and Shrinkage Experienced in the Sydney Opera House and the Rise of Digital Twin as Future Monitoring Technology	BUILDINGS																		Tahmasebinia, Faham/0000-0002-0730-2998; M. E. Sepasgozar, Samad/0000-0003-2568-3111													2075-5309				JUN	2019	9	6							137	10.3390/buildings9060137								WOS:000475295500002						
J	Liu, ZJ; Liu, YW; He, BJ; Xu, W; Jin, GY; Zhang, XT				Liu, Zhijian; Liu, Yuanwei; He, Bao-Jie; Xu, Wei; Jin, Guangya; Zhang, Xutao			Application and suitability analysis of the key technologies in nearly zero energy buildings in China	RENEWABLE & SUSTAINABLE ENERGY REVIEWS																	He, Baojie/J-4430-2019	He, Baojie/0000-0002-8841-0711; Liu, Zhijian/0000-0003-1841-2671												1364-0321					MAR	2019	101						329	345		10.1016/j.rser.2018.11.023								WOS:000454429100023						
J	Wang, Q; Guo, JJ; Kim, MK				Wang, Qian; Guo, Jingjing; Kim, Min-Koo			An Application Oriented Scan-to-BIM Framework	REMOTE SENSING																	Wang, Qian/N-8410-2017; Guo, Jingjing/AAG-8586-2020; Kim, Minkoo/O-4727-2017	Wang, Qian/0000-0003-3175-334X; Guo, Jingjing/0000-0003-2047-6703; Kim, Minkoo/0000-0003-2134-0031												2072-4292					FEB 1	2019	11	3							365	10.3390/rs11030365								WOS:000459944400153						
J	Balado, J; Diaz-Vilarino, L; Arias, P; Soilan, M				Balado, J.; Diaz-Vilarino, L.; Arias, P.; Soilan, M.			Automatic building accessibility diagnosis from point clouds	AUTOMATION IN CONSTRUCTION																	Vilariño, Lucía Díaz/ABI-6394-2020; Díaz-Vilariño, Lucía/B-3020-2017; , Arias/AAL-9383-2020; Frias, Jesus Balado/AAB-9488-2020; Soilan, Mario/I-4030-2015	Vilariño, Lucía Díaz/0000-0002-2382-9431; Díaz-Vilariño, Lucía/0000-0002-2382-9431; , Arias/0000-0002-3547-8907; Frias, Jesus Balado/0000-0002-3758-3102; Soilan, Mario/0000-0001-6545-2225												0926-5805	1872-7891				OCT	2017	82						103	111		10.1016/j.autcon.2017.06.026								WOS:000409153300008						
J	Stefanovic, A; Gordic, D				Stefanovic, Andreja; Gordic, Dusan			Modeling methodology of the heating energy consumption and the potential reductions due to thermal improvements of staggered block buildings	ENERGY AND BUILDINGS																	Gordić, Dušan/V-6405-2018	Gordić, Dušan/0000-0002-1058-5810												0378-7788	1872-6178				AUG 1	2016	125						244	253		10.1016/j.enbuild.2016.04.058								WOS:000378962300023						
J	Ham, Y; Golparvar-Fard, M				Ham, Youngjib; Golparvar-Fard, Mani			An automated vision-based method for rapid 3D energy performance modeling of existing buildings using thermal and digital imagery	ADVANCED ENGINEERING INFORMATICS																														1474-0346	1873-5320				AUG	2013	27	3					395	409		10.1016/j.aei.2013.03.005								WOS:000322607900009						
J	Li, DHW; Yang, L; Lam, JC				Li, Danny H. W.; Yang, Liu; Lam, Joseph C.			Zero energy buildings and sustainable development implications - A review	ENERGY																		LAM, Joseph Choi/0000-0001-7707-2510; LI, Hin Wa/0000-0003-0436-2001												0360-5442	1873-6785				JUN 1	2013	54						1	10		10.1016/j.energy.2013.01.070								WOS:000319371600001						
