Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Eastman C.M., Teicholz P., Sacks R., Liston K.",[No title available],2008,"BIM Handbook: A Guide to Building Information Modeling for Owners, Managers, Architects, Engineers, Contractors, and Fabricators",3033,,[No abstract available],,"Final",Scopus,2-s2.0-38649094993
"Lasi H., Fettke P., Kemper H.-G., Feld T., Hoffmann M.","Industry 4.0",2014,"Business and Information Systems Engineering",1783,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926457128&doi=10.1007%2fs12599-014-0334-4&partnerID=40&md5=0014560768e4ea66aea0ca0d18555b59",[No abstract available],Article,"Final",Scopus,2-s2.0-84926457128
"Volk R., Stengel J., Schultmann F.","Building Information Modeling (BIM) for existing buildings - Literature review and future needs",2014,"Automation in Construction",1073,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890525940&doi=10.1016%2fj.autcon.2013.10.023&partnerID=40&md5=3cd62ca6374b6368ed35066db02442d2","While BIM processes are established for new buildings, the majority of existing buildings is not maintained, refurbished or deconstructed with BIM yet. Promising benefits of efficient resource management motivate research to overcome uncertainties of building condition and deficient documentation prevalent in existing buildings. Due to rapid developments in BIM research, involved stakeholders demand a state-of-the-art overview of BIM implementation and research in existing buildings. This paper presents a review of over 180 recent publications on the topic. Results show scarce BIM implementation in existing buildings yet, due to challenges of (1) high modeling/conversion effort from captured building data into semantic BIM objects, (2) updating of information in BIM and (3) handling of uncertain data, objects and relations in BIM occurring in existing buildings. Despite fast developments and spreading standards, challenging research opportunities arise from process automation and BIM adaption to existing buildings' requirements. © 2013 Elsevier B.V.",Review,"Final",Scopus,2-s2.0-84890525940
"Liao Y., Deschamps F., Loures E.F.R., Ramos L.F.P.","Past, present and future of Industry 4.0 - a systematic literature review and research agenda proposal",2017,"International Journal of Production Research",824,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018651607&doi=10.1080%2f00207543.2017.1308576&partnerID=40&md5=489147eaaf8b15889b45cc25ff2a8e30","Over the last few years, the fourth industrial revolution has attracted more and more attentions all around the world. In the current literature, there is still a lack of efforts to systematically review the state of the art of this new industrial revolution wave. The aim of this study is to address this gap by investigating the academic progresses in Industry 4.0. A systematic literature review was carried out to analyse the academic articles within the Industry 4.0 topic that were published online until the end of June 2016. In this paper, the obtained results from both the general data analysis of included papers (e.g. relevant journals, their subject areas and categories, conferences, keywords) and the specific data analysis corresponding to four research sub-questions are illustrated and discussed. These results not only summarise the current research activities (e.g. main research directions, applied standards, employed software and hardware), but also indicate existing deficiencies and potential research directions through proposing a research agenda. Findings of this review can be used as the basis for future research in Industry 4.0 and related topics. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",Review,"Final",Scopus,2-s2.0-85018651607
"Frank A.G., Dalenogare L.S., Ayala N.F.","Industry 4.0 technologies: Implementation patterns in manufacturing companies",2019,"International Journal of Production Economics",587,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060082633&doi=10.1016%2fj.ijpe.2019.01.004&partnerID=40&md5=517c8c0e6370206cf8019258427cb5a8","Industry 4.0 has been considered a new industrial stage in which several emerging technologies are converging to provide digital solutions. However, there is a lack of understanding of how companies implement these technologies. Thus, we aim to understand the adoption patterns of Industry 4.0 technologies in manufacturing firms. We propose a conceptual framework for these technologies, which we divided into front-end and base technologies. Front-end technologies consider four dimensions: Smart Manufacturing, Smart Products, Smart Supply Chain and Smart Working, while base technologies consider four elements: internet of things, cloud services, big data and analytics. We performed a survey in 92 manufacturing companies to study the implementation of these technologies. Our findings show that Industry 4.0 is related to a systemic adoption of the front-end technologies, in which Smart Manufacturing plays a central role. Our results also show that the implementation of the base technologies is challenging companies, since big data and analytics are still low implemented in the sample studied. We propose a structure of Industry 4.0 technology layers and we show levels of adoption of these technologies and their implication for manufacturing companies. © 2019 Elsevier B.V.",Article,"Final",Scopus,2-s2.0-85060082633
"Grieves M.","Digital Twin: Manufacturing Excellence through Virtual Factory Replication",2014,"Digital Twin: Manufacturing Excellence Through Virtual Factory Replication",580,,[No abstract available],,"Final",Scopus,2-s2.0-84944689700
"Grieves M., Vickers J.","Digital twin: Mitigating unpredictable, undesirable emergent behavior in complex systems",2016,"Transdisciplinary Perspectives on Complex Systems: New Findings and Approaches",549,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006339863&doi=10.1007%2f978-3-319-38756-7_4&partnerID=40&md5=f71116f0b25733bc9554a6f358ddfc0a","Systems do not simply pop into existence. They progress through lifecycle phases of creation, production, operations, and disposal. The issues leading to undesirable and unpredicted emergent behavior are set in place during the phases of creation and production and realized during the operational phase, with many of those problematic issues due to human interaction. We propose that the idea of the Digital Twin, which links the physical system with its virtual equivalent can mitigate these problematic issues. We describe the Digital Twin concept and its development, show how it applies across the product lifecycle in defining and understanding system behavior, and define tests to evaluate how we are progressing. We discuss how the Digital Twin relates to Systems Engineering and how it can address the human interactions that lead to “normal accidents.” We address both Digital Twin obstacles and opportunities, such as system replication and front running. We finish with NASA's current work with the Digital Twin. © Springer International Publishing Switzerland 2017.",Book Chapter,"Final",Scopus,2-s2.0-85006339863
"Qi Q., Tao F.","Digital Twin and Big Data Towards Smart Manufacturing and Industry 4.0: 360 Degree Comparison",2018,"IEEE Access",488,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041173790&doi=10.1109%2fACCESS.2018.2793265&partnerID=40&md5=421f931c692160832c81d6535ddfea0a","With the advances in new-generation information technologies, especially big data and digital twin, smart manufacturing is becoming the focus of global manufacturing transformation and upgrading. Intelligence comes from data. Integrated analysis for the manufacturing big data is beneficial to all aspects of manufacturing. Besides, the digital twin paves a way for the cyber-physical integration of manufacturing, which is an important bottleneck to achieve smart manufacturing. In this paper, the big data and digital twin in manufacturing are reviewed, including their concept as well as their applications in product design, production planning, manufacturing, and predictive maintenance. On this basis, the similarities and differences between big data and digital twin are compared from the general and data perspectives. Since the big data and digital twin can be complementary, how they can be integrated to promote smart manufacturing are discussed. © 2013 IEEE.",Article,"Final",Scopus,2-s2.0-85041173790
"Uhlemann T.H.-J., Lehmann C., Steinhilper R.","The Digital Twin: Realizing the Cyber-Physical Production System for Industry 4.0",2017,"Procedia CIRP",433,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019987476&doi=10.1016%2fj.procir.2016.11.152&partnerID=40&md5=c5731a8c442c5dd06d70f59e9dc90f1f","Concerning current approaches to planning of manufacturing processes, the acquisition of a sufficient data basis of the relevant process information and subsequent development of feasible layout options requires 74% of the overall time-consumption. However, the application of fully automated techniques within planning processes is not yet common practice. Deficits are to be observed in the course of the use of a fully automated data acquisition of the underlying process data, a key element of Industry 4.0, as well as the evaluation and quantification and analysis of the gathered data. As the majority of the planning operations are conducted manually, the lack of any theoretical evaluation renders a benchmarking of the results difficult. Current planning processes analyze the manually achieved results with the aid of simulation. Evaluation and quantification of the planning procedure are limited by complexity that defies manual controllability. Research is therefore required with regard to automated data acquisition and selection, as the near real-time evaluation and analysis of a highly complex production systems relies on a real-time generated database. The paper presents practically feasible approaches to a multi-modal data acquisition approach, its requirements and limitations. The further concept of the Digital Twin for a production process enables a coupling of the production system with its digital equivalent as a base for an optimization with a minimized delay between the time of data acquisition and the creation of the Digital Twin. Therefore a digital data acquisition approach is necessary. As a consequence a cyber-physical production system can be generated, that opens up powerful applications. To ensure a maximum concordance of the cyber-physical process with its real-life model a multimodal data acquisition and evaluation has to be conducted. The paper therefore presents a concept for the composition of a database and proposes guidelines for the implementation of the Digital Twin in production systems in small and medium-sized enterprises. © 2017 The Authors.",Conference Paper,"Final",Scopus,2-s2.0-85019987476
"Oztemel E., Gursev S.","Literature review of Industry 4.0 and related technologies",2020,"Journal of Intelligent Manufacturing",417,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050613632&doi=10.1007%2fs10845-018-1433-8&partnerID=40&md5=c96c93dffec1e1fba9e3a3994a6511a7","Manufacturing industry profoundly impact economic and societal progress. As being a commonly accepted term for research centers and universities, the Industry 4.0 initiative has received a splendid attention of the business and research community. Although the idea is not new and was on the agenda of academic research in many years with different perceptions, the term “Industry 4.0” is just launched and well accepted to some extend not only in academic life but also in the industrial society as well. While academic research focuses on understanding and defining the concept and trying to develop related systems, business models and respective methodologies, industry, on the other hand, focuses its attention on the change of industrial machine suits and intelligent products as well as potential customers on this progress. It is therefore important for the companies to primarily understand the features and content of the Industry 4.0 for potential transformation from machine dominant manufacturing to digital manufacturing. In order to achieve a successful transformation, they should clearly review their positions and respective potentials against basic requirements set forward for Industry 4.0 standard. This will allow them to generate a well-defined road map. There has been several approaches and discussions going on along this line, a several road maps are already proposed. Some of those are reviewed in this paper. However, the literature clearly indicates the lack of respective assessment methodologies. Since the implementation and applications of related theorems and definitions outlined for the 4th industrial revolution is not mature enough for most of the reel life implementations, a systematic approach for making respective assessments and evaluations seems to be urgently required for those who are intending to speed this transformation up. It is now main responsibility of the research community to developed technological infrastructure with physical systems, management models, business models as well as some well-defined Industry 4.0 scenarios in order to make the life for the practitioners easy. It is estimated by the experts that the Industry 4.0 and related progress along this line will have an enormous effect on social life. As outlined in the introduction, some social transformation is also expected. It is assumed that the robots will be more dominant in manufacturing, implanted technologies, cooperating and coordinating machines, self-decision-making systems, autonom problem solvers, learning machines, 3D printing etc. will dominate the production process. Wearable internet, big data analysis, sensor based life, smart city implementations or similar applications will be the main concern of the community. This social transformation will naturally trigger the manufacturing society to improve their manufacturing suits to cope with the customer requirements and sustain competitive advantage. A summary of the potential progress along this line is reviewed in introduction of the paper. It is so obvious that the future manufacturing systems will have a different vision composed of products, intelligence, communications and information network. This will bring about new business models to be dominant in industrial life. Another important issue to take into account is that the time span of this so-called revolution will be so short triggering a continues transformation process to yield some new industrial areas to emerge. This clearly puts a big pressure on manufacturers to learn, understand, design and implement the transformation process. Since the main motivation for finding the best way to follow this transformation, a comprehensive literature review will generate a remarkable support. This paper presents such a review for highlighting the progress and aims to help improve the awareness on the best experiences. It is intended to provide a clear idea for those wishing to generate a road map for digitizing the respective manufacturing suits. By presenting this review it is also intended to provide a hands-on library of Industry 4.0 to both academics as well as industrial practitioners. The top 100 headings, abstracts and key words (i.e. a total of 619 publications of any kind) for each search term were independently analyzed in order to ensure the reliability of the review process. Note that, this exhaustive literature review provides a concrete definition of Industry 4.0 and defines its six design principles such as interoperability, virtualization, local, real-time talent, service orientation and modularity. It seems that these principles have taken the attention of the scientists to carry out more variety of research on the subject and to develop implementable and appropriate scenarios. A comprehensive taxonomy of Industry 4.0 can also be developed through analyzing the results of this review. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",Review,"Final",Scopus,2-s2.0-85050613632
