Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Schnabel R., Wahl R., Klein R.","Efficient RANSAC for point-cloud shape detection",2007,"Computer Graphics Forum",1351,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248995532&doi=10.1111%2fj.1467-8659.2007.01016.x&partnerID=40&md5=d9a07fd57c30ac18d12e991d6335b530","In this paper we present an automatic algorithm to detect basic shapes in unorganized point clouds. The algorithm decomposes the point cloud into a concise, hybrid structure of inherent shapes and a set of remaining points. Each detected shape serves as a proxy for a set of corresponding points. Our method is based on random sampling and detects planes, spheres, cylinders, cones and tori. For models with surfaces composed of these basic shapes only, for example, CAD models, we automatically obtain a representation solely consisting of shape proxies. We demonstrate that the algorithm is robust even in the presence of many outliers and a high degree of noise. The proposed method scales well with respect to the size of the input point cloud and the number and size of the shapes within the data. Even point sets with several millions of samples are robustly decomposed within less than a minute. Moreover, the algorithm is conceptually simple and easy to implement. Application areas include measurement of physical parameters, scan registration, surface compression, hybrid rendering, shape classification, meshing, simplification, approximation and reverse engineering. © 2007 The Eurographics Association and Blackwell Publishing Ltd.",Article,"Final",Scopus,2-s2.0-34248995532
"Cignoni P., Rocchini C., Scopigno R.","Metro: Measuring Error on Simplified Surfaces",1998,"Computer Graphics Forum",1152,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001452452&doi=10.1111%2f1467-8659.00236&partnerID=40&md5=c7eb8bcb4a0b8aee0d8ba47580bb4176","This paper presents a new tool, Metro, designed to compensate for a deficiency in many simplification methods proposed in literature. Metro allows one to compare the difference between a pair of surfaces (e.g. a triangulated mesh and its simplified representation) by adopting a surface sampling approach. It has been designed as a highly general tool, and it does no assumption on the particular approach used to build the simplified representation. It returns both numerical results (meshes areas and volumes, maximum and mean error, etc.) and visual results, by coloring the input surface according to the approximation error.",Article,"Final",Scopus,2-s2.0-0001452452
"Rusu R.B., Marton Z.C., Blodow N., Dolha M., Beetz M.","Towards 3D Point cloud based object maps for household environments",2008,"Robotics and Autonomous Systems",661,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-53849114297&doi=10.1016%2fj.robot.2008.08.005&partnerID=40&md5=5a0ebedd4297bc3dfa1d26fd831a9427","This article investigates the problem of acquiring 3D object maps of indoor household environments, in particular kitchens. The objects modeled in these maps include cupboards, tables, drawers and shelves, which are of particular importance for a household robotic assistant. Our mapping approach is based on PCD (point cloud data) representations. Sophisticated interpretation methods operating on these representations eliminate noise and resample the data without deleting the important details, and interpret the improved point clouds in terms of rectangular planes and 3D geometric shapes. We detail the steps of our mapping approach and explain the key techniques that make it work. The novel techniques include statistical analysis, persistent histogram features estimation that allows for a consistent registration, resampling with additional robust fitting techniques, and segmentation of the environment into meaningful regions. © 2008 Elsevier B.V. All rights reserved.",Article,"Final",Scopus,2-s2.0-53849114297
"Aspert N., Santa-Cruz D., Ebrahimi T.","MESH: Measuring errors between surfaces using the Hausdorff distance",2002,"Proceedings - 2002 IEEE International Conference on Multimedia and Expo, ICME 2002",592,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908347133&doi=10.1109%2fICME.2002.1035879&partnerID=40&md5=bf6923e9a9a51c2e28541d78c0fe7cf8","This paper proposes an efficient method to estimate the distance between discrete 3D surfaces represented by triangular 3D meshes. The metric used is based on an approximation of the Hausdorff distance, which has been appropriately implemented in order to reduce unnecessary computation and memory usage. Results show that when compared to similar tools, a significant gain in both memory and speed can be achieved. © 2002 IEEE.",Conference Paper,"Final",Scopus,2-s2.0-84908347133
[No author name available],"AASHTO LRFD Bridge Design Specifications 8th Ed",2017,"AASHTO LRFD Bridge Design Specifications",507,,[No abstract available],,"Final",Scopus,2-s2.0-85028742178
[No author name available],"2009 Report Card for America's Infrastructure",2009,"2009 Report Card for America's Infrastructure",470,,[No abstract available],,"Final",Scopus,2-s2.0-70350207510
"Lee G., Sacks R., Eastman C.M.","Specifying parametric building object behavior (BOB) for a building information modeling system",2006,"Automation in Construction",250,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748134686&doi=10.1016%2fj.autcon.2005.09.009&partnerID=40&md5=081b0c00110712d8f00ad77a24add6d6","Parametric modeling has been proposed as an effective means to embed domain expertise in models of buildings. As information technology becomes more powerful in terms of the ability to manipulate large parametric models, the potential grows to build increasingly sophisticated functional systems for designing, modeling and fabricating buildings. Implementing more powerful systems implies greater functional specificity, which requires elicitation and capture of increasingly detailed and complex domain-specific semantics and knowledge. This paper explores the extent to which design and engineering knowledge can be practically embedded in production software for building information modeling (BIM). It focuses on a building object behavior (BOB) description notation and method, developed as a shorthand protocol for designing, validating and sharing the design intent of parametric objects. Examples are drawn from an advanced BIM system development project for precast concrete. © 2005 Elsevier B.V. All rights reserved.",Article,"Final",Scopus,2-s2.0-33748134686
[No author name available],[No title available],1994,"Design Manual for Roads and Bridges",232,,[No abstract available],,"Final",Scopus,2-s2.0-0003878518
"Sacks R., Eastman C., Lee G., Teicholz P.","BIM Handbook: A Guide to Building Information Modeling for Owners, Designers, Engineers, Contractors, and Facility Managers",2018,"BIM Handbook: A Guide to Building Information Modeling for Owners, Designers, Engineers, Contractors, and Facility Managers",224,,[No abstract available],,"Final",Scopus,2-s2.0-85054559327
"Ochmann S., Vock R., Wessel R., Klein R.","Automatic reconstruction of parametric building models from indoor point clouds",2016,"Computers and Graphics (Pergamon)",176,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939192627&doi=10.1016%2fj.cag.2015.07.008&partnerID=40&md5=d9f51536ca4b70abfd05bbc547fce3c9","We present an automatic approach for the reconstruction of parametric 3D building models from indoor point clouds. While recently developed methods in this domain focus on mere local surface reconstructions which enable e.g. efficient visualization, our approach aims for a volumetric, parametric building model that additionally incorporates contextual information such as global wall connectivity. In contrast to pure surface reconstructions, our representation thereby allows more comprehensive use: first, it enables efficient high-level editing operations in terms of e.g. wall removal or room reshaping which always result in a topologically consistent representation. Second, it enables easy taking of measurements like e.g. determining wall thickness or room areas. These properties render our reconstruction method especially beneficial to architects or engineers for planning renovation or retrofitting. Following the idea of previous approaches, the reconstruction task is cast as a labeling problem which is solved by an energy minimization. This global optimization approach allows for the reconstruction of wall elements shared between rooms while simultaneously maintaining plausible connectivity between all wall elements. An automatic prior segmentation of the point clouds into rooms and outside area filters large-scale outliers and yields priors for the definition of labeling costs for the energy minimization. The reconstructed model is further enriched by detected doors and windows. We demonstrate the applicability and reconstruction power of our new approach on a variety of complex real-world datasets requiring little or no parameter adjustment. © 2015 The Authors. Published by Elsevier Ltd.",Article,"Final",Scopus,2-s2.0-84939192627
