Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Eastman C.M., Teicholz P., Sacks R., Liston K.",[No title available],2008,"BIM Handbook: A Guide to Building Information Modeling for Owners, Managers, Architects, Engineers, Contractors, and Fabricators",3033,,[No abstract available],,"Final",Scopus,2-s2.0-38649094993
"Wood G.",[No title available],2014,"Ethereum: A Secure Decentralised Generalised Transaction Ledger",2890,,[No abstract available],,"Final",Scopus,2-s2.0-84945225986
"Christidis K., Devetsikiotis M.","Blockchains and Smart Contracts for the Internet of Things",2016,"IEEE Access",1961,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979828304&doi=10.1109%2fACCESS.2016.2566339&partnerID=40&md5=6e954454a54dc6453ba8b670d4f6d41e","Motivated by the recent explosion of interest around blockchains, we examine whether they make a good fit for the Internet of Things (IoT) sector. Blockchains allow us to have a distributed peer-to-peer network where non-trusting members can interact with each other without a trusted intermediary, in a verifiable manner. We review how this mechanism works and also look into smart contracts-scripts that reside on the blockchain that allow for the automation of multi-step processes. We then move into the IoT domain, and describe how a blockchain-IoT combination: 1) facilitates the sharing of services and resources leading to the creation of a marketplace of services between devices and 2) allows us to automate in a cryptographically verifiable manner several existing, time-consuming workflows. We also point out certain issues that should be considered before the deployment of a blockchain network in an IoT setting: from transactional privacy to the expected value of the digitized assets traded on the network. Wherever applicable, we identify solutions and workarounds. Our conclusion is that the blockchain-IoT combination is powerful and can cause significant transformations across several industries, paving the way for new business models and novel, distributed applications. © 2016 IEEE.",Review,"Final",Scopus,2-s2.0-84979828304
"Bahga A., Madisetti V.K.","Blockchain platform for industrial Internet of Things",2016,"J. Softw. Eng. Appl",339,,[No abstract available],,"Final",Scopus,2-s2.0-85032264259
"Kim H.M., Laskowski M.","Toward an ontology-driven blockchain design for supply-chain provenance",2018,"Intelligent Systems in Accounting, Finance and Management",262,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044518392&doi=10.1002%2fisaf.1424&partnerID=40&md5=a3e8f30f5813f0409c9ac1b4babf9b69","An interesting research problem in our age of Big Data is that of determining provenance. Granular evaluation of provenance of physical goods (e.g., tracking ingredients of a pharmaceutical or demonstrating authenticity of luxury goods) has often not been possible with today's items that are produced and transported in complex, interorganizational, often internationally spanning supply chains. Recent adoptions of the Internet of Things and blockchain technologies give promise at better supply-chain provenance. We are particularly interested in the blockchain, as many favored use cases of blockchain are for provenance tracking. We are also interested in applying ontologies, as there has been some work done on knowledge provenance, traceability, and food provenance using ontologies. In this paper, we make a case for why ontologies can contribute to blockchain design. To support this case, we analyze a traceability ontology and translate some of its representations to smart contracts that execute a provenance trace and enforce traceability constraints on the Ethereum blockchain platform. Copyright © 2018 John Wiley & Sons, Ltd.",Article,"Final",Scopus,2-s2.0-85044518392
"Venters W., Whitley E.A.","A critical review of cloud computing: Researching desires and realities",2012,"Journal of Information Technology",254,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866373007&doi=10.1057%2fjit.2012.17&partnerID=40&md5=2b8218d527ea6877e47ddc44ecd6545a","Cloud computing has become central to current discussions about corporate information technology. To assess the impact that cloud may have on enterprises, it is important to evaluate the claims made in the existing literature and critically review these claims against empirical evidence from the field. To this end, this paper provides a framework within which to locate existing and future research on cloud computing. This framework is structured around a series of technological and service desires, that is, characteristics of cloud that are important for cloud users. The existing literature on cloud computing is located within this framework and is supplemented with empirical evidence from interviews with cloud providers and cloud users that were undertaken between 2010 and 2012. The paper identifies a range of research questions that arise from the analysis. © 2012 JIT Palgrave Macmillan. All rights reserved.",Review,"Final",Scopus,2-s2.0-84866373007
"Gardan J.","Additive manufacturing technologies: State of the art and trends",2016,"International Journal of Production Research",224,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947945095&doi=10.1080%2f00207543.2015.1115909&partnerID=40&md5=37dda0c371ca5ca89ad6732b9f86cc9c","The rapid prototyping has been developed from the 1980s to produce models and prototypes until the technologies evolution today. Nowadays, these technologies have other names such as 3D printing or additive manufacturing, and so forth, but they all have the same origins from rapid prototyping. The design and manufacturing process stood the same until new requirements such as a better integration on production line, a largest series of manufacturing or the reduce weight of products due to heavy costs of machines and materials. The ability to produce complex geometries allows proposing of design and manufacturing solutions in the industrial field in order to be ever more effective. The additive manufacturing (AM) technology develops rapidly with news solutions and markets which sometimes need to demonstrate their reliability. The community needs to survey some evolutions such as the new exchange format, the faster 3D printing systems, the advanced numerical simulation or the emergence of new use. This review is addressed to persons who wish have a global view on the AM and improve their understanding. We propose to review the different AM technologies and the new trends to get a global overview through the engineering and manufacturing process. This article describes the engineering and manufacturing cycle with the 3D model management and the most recent technologies from the evolution of additive manufacturing. Finally, the use of AM resulted in new trends that are exposed below with the description of some new economic activities. © 2015 Informa UK Limited, trading as Taylor & Francis Group.",Article,"Final",Scopus,2-s2.0-84947945095
"Ardolino M., Rapaccini M., Saccani N., Gaiardelli P., Crespi G., Ruggeri C.","The role of digital technologies for the service transformation of industrial companies",2018,"International Journal of Production Research",209,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019132767&doi=10.1080%2f00207543.2017.1324224&partnerID=40&md5=59c10344442473d2551510c83433eadb","The role of digital technologies in service business transformation is under-investigated. This paper contributes to filling this gap by addressing how the Internet of things (IoT), cloud computing (CC) and predictive analytics (PA) facilitate service transformation in industrial companies. Through the Data–Information–Knowledge–Wisdom (DIKW) model, we discuss how the abovementioned technologies transform low-level entities such as data into information and knowledge to support the service transformation of manufacturers. We propose a set of digital capabilities, based on the extant literature and the findings from four case studies. Then, we discuss how these capabilities support the service transformation trajectories of manufacturers. We find that IoT is foundational to any service transformation, although it is mostly needed to become an availability provider. PA is essential for moving to the performance provider profile. Besides providing scalability in all profiles, CC is specifically used to implement an industrialiser strategy, therefore leading to standardised, repeatable and productised offerings. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",Article,"Final",Scopus,2-s2.0-85019132767
"Madni A.M., Madni C.C., Lucero S.D.","Leveraging digital twin technology in model-based systems engineering",2019,"Systems",183,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111581098&doi=10.3390%2fsystems7010007&partnerID=40&md5=ae1248eb952959925b9989d89845ab02","Digital twin, a concept introduced in 2002, is becoming increasingly relevant to systems engineering and, more specifically, to model-based system engineering (MBSE). A digital twin, like a virtual prototype, is a dynamic digital representation of a physical system. However, unlike a virtual prototype, a digital twin is a virtual instance of a physical system (twin) that is continually updated with the latter’s performance, maintenance, and health status data throughout the physical system’s life cycle. This paper presents an overall vision and rationale for incorporating digital twin technology into MBSE. The paper discusses the benefits of integrating digital twins with system simulation and Internet of Things (IoT) in support of MBSE and provides specific examples of the use and benefits of digital twin technology in different industries. It concludes with a recommendation to make digital twin technology an integral part of MBSE methodology and experimentation testbeds. © 2019 by the authors. Licensee MDPI, Basel, Switzerland.",Article,"Final",Scopus,2-s2.0-85111581098
"Azhar S., Nadeem A., Mok J.Y., Leung B.H.","Building Information Modeling (BIM): A new paradigm for visual interactive modeling and simulation for construction projects",2008,"Proc., First International Conference on Construction in Developing Countries",169,,[No abstract available],,"Final",Scopus,2-s2.0-79960266940
