Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Lasi H., Fettke P., Kemper H.-G., Feld T., Hoffmann M.","Industry 4.0",2014,"Business and Information Systems Engineering",1783,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926457128&doi=10.1007%2fs12599-014-0334-4&partnerID=40&md5=0014560768e4ea66aea0ca0d18555b59",[No abstract available],Article,"Final",Scopus,2-s2.0-84926457128
"Su H., Maji S., Kalogerakis E., Learned-Miller E.","Multi-view convolutional neural networks for 3D shape recognition",2015,"Proceedings of the IEEE International Conference on Computer Vision",1564,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973882748&doi=10.1109%2fICCV.2015.114&partnerID=40&md5=2d51348e0c4b74c3dd228cfb09a73e4a","A longstanding question in computer vision concerns the representation of 3D shapes for recognition: should 3D shapes be represented with descriptors operating on their native 3D formats, such as voxel grid or polygon mesh, or can they be effectively represented with view-based descriptors? We address this question in the context of learning to recognize 3D shapes from a collection of their rendered views on 2D images. We first present a standard CNN architecture trained to recognize the shapes' rendered views independently of each other, and show that a 3D shape can be recognized even from a single view at an accuracy far higher than using state-of-the-art 3D shape descriptors. Recognition rates further increase when multiple views of the shapes are provided. In addition, we present a novel CNN architecture that combines information from multiple views of a 3D shape into a single and compact shape descriptor offering even better recognition performance. The same architecture can be applied to accurately recognize human hand-drawn sketches of shapes. We conclude that a collection of 2D views can be highly informative for 3D shape recognition and is amenable to emerging CNN architectures and their derivatives. © 2015 IEEE.",Conference Paper,"Final",Scopus,2-s2.0-84973882748
"Volk R., Stengel J., Schultmann F.","Building Information Modeling (BIM) for existing buildings - Literature review and future needs",2014,"Automation in Construction",1073,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890525940&doi=10.1016%2fj.autcon.2013.10.023&partnerID=40&md5=3cd62ca6374b6368ed35066db02442d2","While BIM processes are established for new buildings, the majority of existing buildings is not maintained, refurbished or deconstructed with BIM yet. Promising benefits of efficient resource management motivate research to overcome uncertainties of building condition and deficient documentation prevalent in existing buildings. Due to rapid developments in BIM research, involved stakeholders demand a state-of-the-art overview of BIM implementation and research in existing buildings. This paper presents a review of over 180 recent publications on the topic. Results show scarce BIM implementation in existing buildings yet, due to challenges of (1) high modeling/conversion effort from captured building data into semantic BIM objects, (2) updating of information in BIM and (3) handling of uncertain data, objects and relations in BIM occurring in existing buildings. Despite fast developments and spreading standards, challenging research opportunities arise from process automation and BIM adaption to existing buildings' requirements. © 2013 Elsevier B.V.",Review,"Final",Scopus,2-s2.0-84890525940
"Tang P., Huber D., Akinci B., Lipman R., Lytle A.","Automatic reconstruction of as-built building information models from laser-scanned point clouds: A review of related techniques",2010,"Automation in Construction",687,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956619234&doi=10.1016%2fj.autcon.2010.06.007&partnerID=40&md5=02fe8aaef91b458c0d2a1682bce87b22","Building information models (BIMs) are maturing as a new paradigm for storing and exchanging knowledge about a facility. BIMs constructed from a CAD model do not generally capture details of a facility as it was actually built. Laser scanners can be used to capture dense 3D measurements of a facility's as-built condition and the resulting point cloud can be manually processed to create an as-built BIM-a time-consuming, subjective, and error-prone process that could benefit significantly from automation. This article surveys techniques developed in civil engineering and computer science that can be utilized to automate the process of creating as-built BIMs. We sub-divide the overall process into three core operations: geometric modeling, object recognition, and object relationship modeling. We survey the state-of-the-art methods for each operation and discuss their potential application to automated as-built BIM creation. We also outline the main methods used by these algorithms for representing knowledge about shape, identity, and relationships. In addition, we formalize the possible variations of the overall as-built BIM creation problem and outline performance evaluation measures for comparing as-built BIM creation algorithms and tracking progress of the field. Finally, we identify and discuss technology gaps that need to be addressed in future research. © 2010 Elsevier B.V.",Review,"Final",Scopus,2-s2.0-77956619234
"Grieves M.","Digital Twin: Manufacturing Excellence through Virtual Factory Replication",2014,"Digital Twin: Manufacturing Excellence Through Virtual Factory Replication",580,,[No abstract available],,"Final",Scopus,2-s2.0-84944689700
"Becerik-Gerber B., Jazizadeh F., Li N., Calis G.","Application areas and data requirements for BIM-enabled facilities management",2012,"Journal of Construction Engineering and Management",504,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859575621&doi=10.1061%2f%28ASCE%29CO.1943-7862.0000433&partnerID=40&md5=ff02cb8ce9e1f4735b345031c839e3e4","Facilities management (FM) encompasses and requires multidisciplinary activities, and thus has extensive information requirements. While some of these needs are addressed by several existing FM information systems, building information modeling (BIM), which is becoming widely adopted by the construction industry, holds undeveloped possibilities for providing and supporting FM practices with its functionalities of visualization, analysis, control, and so on. This paper explores how BIM can be a beneficial platform for supplementing FM practices. An online survey and face-to-face interviews were conducted to assess the current status of BIM implementations in FM, potential applications, and the level of interest in the utilization of BIM. Interactions between BIM and FM are defined by illustrating application areas and data requirements for BIM-enabled FM practices. Highlighting the synergy between the two, this paper can help professionals recognize potential areas in which BIM can be useful in FM practices. © 2012 American Society of Civil Engineers.",Article,"Final",Scopus,2-s2.0-84859575621
"Xiong X., Adan A., Akinci B., Huber D.","Automatic creation of semantically rich 3D building models from laser scanner data",2013,"Automation in Construction",422,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873283130&doi=10.1016%2fj.autcon.2012.10.006&partnerID=40&md5=61d3cec103ae96e1a906eb4213c948fc","In the Architecture, Engineering, and Construction (AEC) domain, semantically rich 3D information models are increasingly used throughout a facility's life cycle for diverse applications, such as planning renovations, space usage planning, and managing building maintenance. These models, which are known as building information models (BIMs), are often constructed using dense, three dimensional (3D) point measurements obtained from laser scanners. Laser scanners can rapidly capture the ""as-is"" conditions of a facility, which may differ significantly from the design drawings. Currently, the conversion from laser scan data to BIM is primarily a manual operation, and it is labor-intensive and can be error-prone. This paper presents a method to automatically convert the raw 3D point data from a laser scanner positioned at multiple locations throughout a facility into a compact, semantically rich information model. Our algorithm is capable of identifying and modeling the main visible structural components of an indoor environment (walls, floors, ceilings, windows, and doorways) despite the presence of significant clutter and occlusion, which occur frequently in natural indoor environments. Our method begins by extracting planar patches from a voxelized version of the input point cloud. The algorithm learns the unique features of different types of surfaces and the contextual relationships between them and uses this knowledge to automatically label patches as walls, ceilings, or floors. Then, we perform a detailed analysis of the recognized surfaces to locate openings, such as windows and doorways. This process uses visibility reasoning to fuse measurements from different scan locations and to identify occluded regions and holes in the surface. Next, we use a learning algorithm to intelligently estimate the shape of window and doorway openings even when partially occluded. Finally, occluded surface regions are filled in using a 3D inpainting algorithm. We evaluated the method on a large, highly cluttered data set of a building with forty separate rooms. © 2012 Elsevier B.V.",Article,"Final",Scopus,2-s2.0-84873283130
"Singh V., Gu N., Wang X.","A theoretical framework of a BIM-based multi-disciplinary collaboration platform",2011,"Automation in Construction",384,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79551689722&doi=10.1016%2fj.autcon.2010.09.011&partnerID=40&md5=f59e1ecd0d2f53076328a73eb0268252","Most complex projects in the Architecture, Engineering, and Construction (AEC) industries involve multi-disciplinary collaboration and the exchange of large building data set. Traditionally, the collaboration efforts across the disciplines have been based on the frequent exchange of 2D drawings and documents. However, during the past decade, the widespread adoption of object-oriented Computer-aided Design (CAD) tools has generated more interests in Building Information Modelling (BIM). A number of BIM-compliant applications such as analysis tools, model checkers and facility management applications are being developed. This paper develops a theoretical framework of technical requirements for using BIM-server as a multi-disciplinary collaboration platform. The methodologies that are used to develop the framework include focus group interviews (FGIs) with representatives from the diverse AEC disciplines, a case study of an Architectural project using a state-of-the-art BIM-server, and a critical review and analysis of current collaboration platforms that are available to the AEC industries. This paper concludes that greater emphasis should be placed on supporting technical requirements to facilitate technology management and implementation across disciplines. Their implications for user-centric technology development in design and construction industry are also discussed. © 2010 Elsevier B.V.",Article,"Final",Scopus,2-s2.0-79551689722
"Posada J., Toro C., Barandiaran I., Oyarzun D., Stricker D., De Amicis R., Pinto E.B., Eisert P., Döllner J., Vallarino I., Jr.","Visual Computing as a Key Enabling Technology for Industrie 4.0 and Industrial Internet",2015,"IEEE Computer Graphics and Applications",381,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948614424&doi=10.1109%2fMCG.2015.45&partnerID=40&md5=76e4d38229765cad5a2ef4c3b7aa4883","A worldwide movement in advanced manufacturing countries is seeking to reinvigorate (and revolutionize) the industrial and manufacturing core competencies with the use of the latest advances in information and communications technology. Visual computing plays an important role as the 'glue factor' in complete solutions. This article positions visual computing in its intrinsic crucial role for Industrie 4.0 and provides a general, broad overview and points out specific directions and scenarios for future research. © 1981-2012 IEEE.",Article,"Final",Scopus,2-s2.0-84948614424
"Nguyen A., Le B.","3D point cloud segmentation: A survey",2013,"IEEE Conference on Robotics, Automation and Mechatronics, RAM - Proceedings",212,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898036866&doi=10.1109%2fRAM.2013.6758588&partnerID=40&md5=7dba34477f10c1207eb0d3a10490d1f5","3D point cloud segmentation is the process of classifying point clouds into multiple homogeneous regions, the points in the same region will have the same properties. The segmentation is challenging because of high redundancy, uneven sampling density, and lack explicit structure of point cloud data. This problem has many applications in robotics such as intelligent vehicles, autonomous mapping and navigation. Many authors have introduced different approaches and algorithms. In this survey, we examine methods that have been proposed to segment 3D point clouds. The advantages, disadvantages, and design mechanisms of these methods are analyzed and discussed. Finally, we outline the promising future research directions. © 2013 IEEE.",Conference Paper,"Final",Scopus,2-s2.0-84898036866
