Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Commission E.","Directive 2010/31/EU of the European Parliament and of the Council of 19 May 2010 on the energy performance of buildings",2010,"Official Journal of the European Union",1521,,[No abstract available],,"Final",Scopus,2-s2.0-84855440065
"Marszal A.J., Heiselberg P., Bourrelle J.S., Musall E., Voss K., Sartori I., Napolitano A.","Zero Energy Building - A review of definitions and calculation methodologies",2011,"Energy and Buildings",727,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951517816&doi=10.1016%2fj.enbuild.2010.12.022&partnerID=40&md5=33a6422864c9a6251699f477666cd123","The concept of Zero Energy Building (ZEB) has gained wide international attention during last few years and is now seen as the future target for the design of buildings. However, before being fully implemented in the national building codes and international standards, the ZEB concept requires clear and consistent definition and a commonly agreed energy calculation methodology. The most important issues that should be given special attention before developing a new ZEB definition are: (1) the metric of the balance, (2) the balancing period, (3) the type of energy use included in the balance, (4) the type of energy balance, (5) the accepted renewable energy supply options, (6) the connection to the energy infrastructure and (7) the requirements for the energy efficiency, the indoor climate and in case of gird connected ZEB for the building-grid interaction. This paper focuses on the review of the most of the existing ZEB definitions and the various approaches towards possible ZEB calculation methodologies. It presents and discusses possible answers to the abovementioned issues in order to facilitate the development of a consistent ZEB definition and a robust energy calculation methodology. © 2011 Elsevier B.V. All rights reserved.",Article,"Final",Scopus,2-s2.0-79951517816
"Sartori I., Napolitano A., Voss K.","Net zero energy buildings: A consistent definition framework",2012,"Energy and Buildings",537,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858071872&doi=10.1016%2fj.enbuild.2012.01.032&partnerID=40&md5=21b552c2d15008691b20997f4f939292","The term Net ZEB, Net Zero Energy Building, indicates a building connected to the energy grids. It is recognized that the sole satisfaction of an annual balance is not sufficient to fully characterize Net ZEBs and the interaction between buildings and energy grids need to be addressed. It is also recognized that different definitions are possible, in accordance with a country's political targets and specific conditions. This paper presents a consistent framework for setting Net ZEB definitions. Evaluation of the criteria in the definition framework and selection of the related options becomes a methodology to set Net ZEB definitions in a systematic way. The balance concept is central in the definition framework and two major types of balance are identified, namely the import/export balance and the load/generation balance. As compromise between the two a simplified monthly net balance is also described. Concerning the temporal energy match, two major characteristics are described to reflect a Net ZEB's ability to match its own load by on-site generation and to work beneficially with respect to the needs of the local grids. Possible indicators are presented and the concept of grid interaction flexibility is introduced as a desirable target in the building energy design. © 2011 Elsevier B.V. All rights reserved.",Article,"Final",Scopus,2-s2.0-84858071872
"Torcellini P., Pless S., Deru M., Crawley D.","Zero Energy Buildings: A Critical Look at the Definition",2006,"Zero Energy Buildings: A Critical Look at the Definition",399,,[No abstract available],,"Final",Scopus,2-s2.0-37249010887
"Hernandez P., Kenny P.","From net energy to zero energy buildings: Defining life cycle zero energy buildings (LC-ZEB)",2010,"Energy and Buildings",334,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950299775&doi=10.1016%2fj.enbuild.2009.12.001&partnerID=40&md5=ddfee51084d582c43b0edcb396c5d529","There are various definitions of 'zero energy' and 'net-zero' energy building. In most cases, the definitions refer only to the energy that is used in the operation of the building, ignoring the aspects of energy use related to the construction and delivery of the building and its components. On the other hand the concept of 'net energy' as used in the field of ecological economics, which does take into account the energy used during the production process of a commodity, is widely applied in fields such as renewable energy assessment. In this paper the concept of 'net energy' is introduced and applied within the built environment, based on a methodology accounting for the embodied energy of building components together with energy use in operation. A definition of life cycle zero energy buildings (LC-ZEB) is proposed, as well as the use of the net energy ratio (NER) as a factor to aid in building design with a life cycle perspective. © 2009 Elsevier B.V. All rights reserved.",Article,"Final",Scopus,2-s2.0-77950299775
"Sinden G.","Characteristics of the UK wind resource: Long-term patterns and relationship to electricity demand",2007,"Energy Policy",245,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750149515&doi=10.1016%2fj.enpol.2005.10.003&partnerID=40&md5=e0e9af6b270e9dd6306fa504d69683fc","The ability of wind power to reliably contribute energy to electricity networks is directly related to the characteristics of the wind resource. An analysis of the characteristics of the wind power resource of the United Kingdom has been carried out, based on modelling of hourly observed wind speed data from 66 onshore weather recording sites for the period 1970-2003. Patterns of wind power availability are presented, with the data demonstrating that the output from large-scale wind power development in the UK has distinct patterns of monthly and hourly variability. The extent and frequency of high and low wind power events is assessed, and wind power data are matched with electricity demand data to examine the relationship between wind power output and electricity demand. It is demonstrated that wind power output in the UK has a weak, positive correlation to current electricity demand patterns; during peak demand periods, the capacity factor of wind power in the UK is around 30% higher than the annual average capacity factor. Comments on the relevance of these findings to modelling the impact of wind-generated electricity on existing electricity networks are given. © 2005 Elsevier Ltd. All rights reserved.",Article,"Final",Scopus,2-s2.0-33750149515
"Wang L., Gwilliam J., Jones P.","Case study of zero energy house design in UK",2009,"Energy and Buildings",192,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-69249208690&doi=10.1016%2fj.enbuild.2009.07.001&partnerID=40&md5=d0b9f6a11b95f9d7dc42bb7141924e01","Possible solutions for zero energy building design in UK are discussed in this paper. Simulation software (EnergyPlus and TRNSYS 16) are employed in this study, where EnergyPlus simulations are applied to enable facade design studies considering building materials, window sizes and orientations and TRNSYS is used for the investigation of the feasibility of zero energy houses with renewable electricity, solar hot water system and energy efficient heating systems under Cardiff weather conditions. Various design methods are compared and optimal design strategies for typical homes and energy systems are provided. © 2009 Elsevier B.V. All rights reserved.",Article,"Final",Scopus,2-s2.0-69249208690
"Kaewunruen S., Sussman J.M., Matsumoto A.","Grand challenges in transportation and transit systems",2016,"Frontiers in Built Environment",167,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997615254&doi=10.3389%2ffbuil.2016.00004&partnerID=40&md5=208668e50dd3cce84fe066edf7518ff8","Transportation and transit systems draw upon broad spectra of research fields due to the diversity and interconnectivity of transport modes, including road, rail, aviation, pipeline, maritime, or even aerospace. These systems have evolved over centuries to be considerably more efficient and environment-friendly for a wide range of customers. The fundamental principle “safety first” is still the key priority in most research today. However, thanks to extensive interface with various customers; research and innovation in practices have shifted from optimizing functional purposes and targets through each stage of life cycle toward modernization, reliability, resilience, and better quality of life. These initiatives additionally coincide with the grand challenges for engineering proposed by the National Academy of Engineering and the United Nations’ Millennium Development Goals (National Academy of Engineering, 2015). © 2016 Kaewunruen, Sussman and Matsumoto.",Editorial,"Final",Scopus,2-s2.0-84997615254
"Gelman R.","2012 Renewable Energy Data Book",2019,"Renewable Energy Data Book",162,,[No abstract available],,"Final",Scopus,2-s2.0-78649784171
"Leckner M., Zmeureanu R.","Life cycle cost and energy analysis of a Net Zero Energy House with solar combisystem",2011,"Applied Energy",156,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957315695&doi=10.1016%2fj.apenergy.2010.07.031&partnerID=40&md5=904c766126743944426c89349ae3099f","The Net Zero Energy House (NZEH) presented in this paper is an energy efficient house that uses available solar technologies to generate at least as much primary energy as the house uses over the course of the year. The computer simulation results show that it is technically feasible to reach the goal of NZEH in the cold climate of Montreal. In terms of the life cycle energy use, which considers the operating and embodied energy of the house, the energy payback time is 8.4-8.7. years, when the NZEH is compared with an average house that complies with the provincial code. The energy payback ratio of the combisystem is 3.5-3.8 compared with the heating system of conventional house. By converting solar energy, the combisystem supplies at least 3.5 times more energy than the energy invested for manufacturing and shipping the system. The life cycle cost analysis of the NZEH shows, however, that due to the high cost of the solar technologies and the low cost of electricity in Montreal, financial payback is never achieved. © 2010 Elsevier Ltd.",Article,"Final",Scopus,2-s2.0-77957315695
