Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Lecun Y., Bengio Y., Hinton G.","Deep learning",2015,"Nature",32521,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930630277&doi=10.1038%2fnature14539&partnerID=40&md5=e324cb9ec992f892ebc74f3e06078083","Deep learning allows computational models that are composed of multiple processing layers to learn representations of data with multiple levels of abstraction. These methods have dramatically improved the state-of-the-art in speech recognition, visual object recognition, object detection and many other domains such as drug discovery and genomics. Deep learning discovers intricate structure in large data sets by using the backpropagation algorithm to indicate how a machine should change its internal parameters that are used to compute the representation in each layer from the representation in the previous layer. Deep convolutional nets have brought about breakthroughs in processing images, video, speech and audio, whereas recurrent nets have shone light on sequential data such as text and speech. © 2015 Macmillan Publishers Limited. All rights reserved.",Review,"Final",Scopus,2-s2.0-84930630277
"Bengio Y., Goodfellow I.J., Courville A.",[No title available],2015,"Deep Learning",18346,,[No abstract available],,"Final",Scopus,2-s2.0-84944735469
"Alpaydin E.",[No title available],2004,"Introduction to Machine Learning",4735,,[No abstract available],,,Scopus,2-s2.0-25644459607
"Jurafsky D., Martin J.H.",[No title available],2000,"Speech and Language Processing",4371,,[No abstract available],,,Scopus,2-s2.0-0003847769
"Weizenbaum J.","ELIZA-A computer program for the study of natural language communication between man and machine",1966,"Communications of the ACM",1978,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911514327&doi=10.1145%2f365153.365168&partnerID=40&md5=c2b08fd4edbd80e01c32728b23779191",[No abstract available],Article,"Final",Scopus,2-s2.0-84911514327
"Gandomi A., Haider M.","Beyond the hype: Big data concepts, methods, and analytics",2015,"International Journal of Information Management",1934,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919389514&doi=10.1016%2fj.ijinfomgt.2014.10.007&partnerID=40&md5=82ae67bfd30f9d55989f71b9aaa619e0","Size is the first, and at times, the only dimension that leaps out at the mention of big data. This paper attempts to offer a broader definition of big data that captures its other unique and defining characteristics. The rapid evolution and adoption of big data by industry has leapfrogged the discourse to popular outlets, forcing the academic press to catch up. Academic journals in numerous disciplines, which will benefit from a relevant discussion of big data, have yet to cover the topic. This paper presents a consolidated description of big data by integrating definitions from practitioners and academics. The paper's primary focus is on the analytic methods used for big data. A particular distinguishing feature of this paper is its focus on analytics related to unstructured data, which constitute 95% of big data. This paper highlights the need to develop appropriate and efficient analytical methods to leverage massive volumes of heterogeneous data in unstructured text, audio, and video formats. This paper also reinforces the need to devise new tools for predictive analytics for structured big data. The statistical methods in practice were devised to infer from sample data. The heterogeneity, noise, and the massive size of structured big data calls for developing computationally efficient algorithms that may avoid big data pitfalls, such as spurious correlation. © 2014 The Authors.",Article,"Final",Scopus,2-s2.0-84919389514
"Su H., Maji S., Kalogerakis E., Learned-Miller E.","Multi-view convolutional neural networks for 3D shape recognition",2015,"Proceedings of the IEEE International Conference on Computer Vision",1564,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973882748&doi=10.1109%2fICCV.2015.114&partnerID=40&md5=2d51348e0c4b74c3dd228cfb09a73e4a","A longstanding question in computer vision concerns the representation of 3D shapes for recognition: should 3D shapes be represented with descriptors operating on their native 3D formats, such as voxel grid or polygon mesh, or can they be effectively represented with view-based descriptors? We address this question in the context of learning to recognize 3D shapes from a collection of their rendered views on 2D images. We first present a standard CNN architecture trained to recognize the shapes' rendered views independently of each other, and show that a 3D shape can be recognized even from a single view at an accuracy far higher than using state-of-the-art 3D shape descriptors. Recognition rates further increase when multiple views of the shapes are provided. In addition, we present a novel CNN architecture that combines information from multiple views of a 3D shape into a single and compact shape descriptor offering even better recognition performance. The same architecture can be applied to accurately recognize human hand-drawn sketches of shapes. We conclude that a collection of 2D views can be highly informative for 3D shape recognition and is amenable to emerging CNN architectures and their derivatives. © 2015 IEEE.",Conference Paper,"Final",Scopus,2-s2.0-84973882748
"De Boer P.-T., Kroese D.P., Mannor S., Rubinstein R.Y.","A tutorial on the cross-entropy method",2005,"Annals of Operations Research",1267,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-17444409624&doi=10.1007%2fs10479-005-5724-z&partnerID=40&md5=7bc1b17e03da444ccde976f5f85e1fe0","The cross-entropy (CE) method is a new generic approach to combinatorial and multi-extremal optimization and rare event simulation. The purpose of this tutorial is to give a gentle introduction to the CE method. We present the CE methodology, the basic algorithm and its modifications, and discuss applications in combinatorial optimization and machine learning. © 2005 Springer Science + Business Media, Inc.",Article,"Final",Scopus,2-s2.0-17444409624
"Najafabadi M.M., Villanustre F., Khoshgoftaar T.M., Seliya N., Wald R., Muharemagic E.","Deep learning applications and challenges in big data analytics",2015,"Journal of Big Data",1004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013977220&doi=10.1186%2fs40537-014-0007-7&partnerID=40&md5=c1817bbbcb6e985acea50051e2e9445d","Big Data Analytics and Deep Learning are two high-focus of data science. Big Data has become important as many organizations both public and private have been collecting massive amounts of domain-specific information, which can contain useful information about problems such as national intelligence, cyber security, fraud detection, marketing, and medical informatics. Companies such as Google and Microsoft are analyzing large volumes of data for business analysis and decisions, impacting existing and future technology. Deep Learning algorithms extract high-level, complex abstractions as data representations through a hierarchical learning process. Complex abstractions are learnt at a given level based on relatively simpler abstractions formulated in the preceding level in the hierarchy. A key benefit of Deep Learning is the analysis and learning of massive amounts of unsupervised data, making it a valuable tool for Big Data Analytics where raw data is largely unlabeled and un-categorized. In the present study, we explore how Deep Learning can be utilized for addressing some important problems in Big Data Analytics, including extracting complex patterns from massive volumes of data, semantic indexing, data tagging, fast information retrieval, and simplifying discriminative tasks. We also investigate some aspects of Deep Learning research that need further exploration to incorporate specific challenges introduced by Big Data Analytics, including streaming data, high-dimensional data, scalability of models, and distributed computing. We conclude by presenting insights into relevant future works by posing some questions, including defining data sampling criteria, domain adaptation modeling, defining criteria for obtaining useful data abstractions, improving semantic indexing, semi-supervised learning, and active learning. © 2015, Najafabadi et al.; licensee Springer.",Article,"Final",Scopus,2-s2.0-85013977220
"Van Der Maaten L., Postma E., Van Den Herik H.","Dimensionality reduction: A comparative review",2009,"Journal of Machine Learning Research",957,,[No abstract available],,"Final",Scopus,2-s2.0-70350487954
