Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Eastman C.M., Teicholz P., Sacks R., Liston K.",[No title available],2008,"BIM Handbook: A Guide to Building Information Modeling for Owners, Managers, Architects, Engineers, Contractors, and Fabricators",3033,,[No abstract available],,"Final",Scopus,2-s2.0-38649094993
"Succar B.","Building information modelling framework: A research and delivery foundation for industry stakeholders",2009,"Automation in Construction",781,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-59049095324&doi=10.1016%2fj.autcon.2008.10.003&partnerID=40&md5=78f8c1b99d396371ae95905052c163db","Building Information Modelling (BIM) is an expansive knowledge domain within the Architecture, Engineering, Construction and Operations (AECO) industry. To allow a systematic investigation of BIM's divergent fields, its knowledge components must be defined and expanding boundaries delineated. This paper explores some of the publicly available international guidelines and introduces the BIM Framework, a research and delivery foundation for industry stakeholders. This is a 'scene-setting' paper identifying many conceptual parts (fields, stages, steps and lenses), providing examples of their application and listing some of the Framework's deliverables. This paper also identifies and deploys visual knowledge models and a specialised ontology to represent domain concepts and their relations. © 2008 Elsevier B.V. All rights reserved.",Article,"Final",Scopus,2-s2.0-59049095324
"Kritzinger W., Karner M., Traar G., Henjes J., Sihn W.","Digital Twin in manufacturing: A categorical literature review and classification",2018,,533,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052915281&doi=10.1016%2fj.ifacol.2018.08.474&partnerID=40&md5=89a5c6aec62d7a3f4ec83465a36abfa8","The Digital Twin (DT) is commonly known as a key enabler for the digital transformation, however, in literature is no common understanding concerning this term. It is used slightly different over the disparate disciplines. The aim of this paper is to provide a categorical literature review of the DT in manufacturing and to classify existing publication according to their level of integration of the DT. Therefore, it is distinct between Digital Model (DM), Digital Shadow (DS) and Digital Twin. The results are showing, that literature concerning the highest development stage, the DT, is scarce, whilst there is more literature about DM and DS. © 2018",Conference Paper,"Final",Scopus,2-s2.0-85052915281
"Schleich B., Anwer N., Mathieu L., Wartzack S.","Shaping the digital twin for design and production engineering",2017,"CIRP Annals - Manufacturing Technology",508,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018723536&doi=10.1016%2fj.cirp.2017.04.040&partnerID=40&md5=ba7049ec32c79b6298cc70581af3c133","The digitalization of manufacturing fuels the application of sophisticated virtual product models, which are referred to as digital twins, throughout all stages of product realization. Particularly, more realistic virtual models of manufactured products are essential to bridge the gap between design and manufacturing and to mirror the real and virtual worlds. In this paper, we propose a comprehensive reference model based on the concept of Skin Model Shapes, which serves as a digital twin of the physical product in design and manufacturing. In this regard, model conceptualization, representation, and implementation as well as applications along the product life-cycle are addressed. © 2017",Article,"Final",Scopus,2-s2.0-85018723536
"Qi Q., Tao F.","Digital Twin and Big Data Towards Smart Manufacturing and Industry 4.0: 360 Degree Comparison",2018,"IEEE Access",488,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041173790&doi=10.1109%2fACCESS.2018.2793265&partnerID=40&md5=421f931c692160832c81d6535ddfea0a","With the advances in new-generation information technologies, especially big data and digital twin, smart manufacturing is becoming the focus of global manufacturing transformation and upgrading. Intelligence comes from data. Integrated analysis for the manufacturing big data is beneficial to all aspects of manufacturing. Besides, the digital twin paves a way for the cyber-physical integration of manufacturing, which is an important bottleneck to achieve smart manufacturing. In this paper, the big data and digital twin in manufacturing are reviewed, including their concept as well as their applications in product design, production planning, manufacturing, and predictive maintenance. On this basis, the similarities and differences between big data and digital twin are compared from the general and data perspectives. Since the big data and digital twin can be complementary, how they can be integrated to promote smart manufacturing are discussed. © 2013 IEEE.",Article,"Final",Scopus,2-s2.0-85041173790
"Glaessgen E.H., Stargel D.S.","The digital twin paradigm for future NASA and U.S. air force vehicles",2012,"53rd AIAA/ASME/ASCE/AHS/ASC Structures, Structural Dynamics and Materials Conference 2012",446,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881388851&partnerID=40&md5=76921d9a4627f52dfccb21e0f7a9d767","Future generations of NASA and U.S. Air Force vehicles will require lighter mass while being subjected to higher loads and more extreme service conditions over longer time periods than the present generation. Current approaches for certification, fleet management and sustainment are largely based on statistical distributions of material properties, heuristic design philosophies, physical testing and assumed similitude between testing and operational conditions and will likely be unable to address these extreme requirements. To address the shortcomings of conventional approaches, a fundamental paradigm shift is needed. This paradigm shift, the Digital Twin, integrates ultra-high fidelity simulation with the vehicle's on-board integrated vehicle health management system, maintenance history and all available historical and fleet data to mirror the life of its flying twin and enable unprecedented levels of safety and reliability.",Conference Paper,"Final",Scopus,2-s2.0-84881388851
"Boschert S., Rosen R.","Digital twin-the simulation aspect",2016,"Mechatronic Futures: Challenges and Solutions for Mechatronic Systems and Their Designers",426,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016457439&doi=10.1007%2f978-3-319-32156-1_5&partnerID=40&md5=d3eccf1c33e916d426e389be5c6288cd","The vision of the Digital Twin itself refers to a comprehensive physical and functional description of a component, product or system, which includes more or less all information which could be useful in all-the current and subsequent-lifecycle phases. In this chapter we focus on the simulation aspects of the Digital Twin. Today, modelling and simulation is a standard process in system development, e.g. to support design tasks or to validate system properties. During operation and for service first simulation-based solutions are realized for optimized operations and failure prediction. In this sense, simulation merges the physical and virtual world in all life cycle phases. Current practice already enables the users (designer, SW/HW developers, test engineers, operators, maintenance personnel, etc) to master the complexity of mechatronic systems. © Springer International Publishing Switzerland 2016.",Book Chapter,"Final",Scopus,2-s2.0-85016457439
"Azhar S., Khalfan M., Maqsood T.","Building information modeling (BIM): Now and beyond",2012,"Australasian Journal of Construction Economics and Building",341,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870925948&doi=10.5130%2fajceb.v12i4.3032&partnerID=40&md5=fca490ab7d64d32cb169b8a71262816e","Building Information Modeling (BIM), also called n-D Modeling or Virtual Prototyping Technology, is a revolutionary development that is quickly reshaping the Architecture- Engineering-Construction (AEC) industry. BIM is both a technology and a process. The technology component of BIM helps project stakeholders to visualize what is to be built in a simulated environment to identify any potential design, construction or operational issues. The process component enables close collaboration and encourages integration of the roles of all stakeholders on a project. The paper presents an overview of BIM with focus on its core concepts, applications in the project life cycle and benefits for project stakeholders with the help of case studies. The paper also elaborates risks and barriers to BIM implementation and future trends.",Article,"Final",Scopus,2-s2.0-84870925948
"Grieves M., Vickers J.","Digital twin: mitigating unpredictable, undesirable emergent behavior in complex systems",2017,"Transdisciplinary Perspectives on Complex Systems",205,,[No abstract available],,"Final",Scopus,2-s2.0-85016450943
"Redmond A., Hore A., Alshawi M., West R.","Exploring how information exchanges can be enhanced through Cloud BIM",2012,"Automation in Construction",184,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860295399&doi=10.1016%2fj.autcon.2012.02.003&partnerID=40&md5=87846aa654303a7d9d817b50829e9c70","The properties of BIM are; parametric modelling providing tabular views of components and characteristic interaction with elements, for example if a pitch roof changes so do the walls and bi-directional co-ordination enabling virtual simulations of physical construction. However, the dilemma is how to share these properties of BIM applications on one single platform. Thus creating a service that would enable the end-user to use multiple of nDs such as, 3D (three dimensional modelling), 4D (time - programming), 5D (costing) and 6D (sustainability) actions asynchronously. The prospect of using remote data servers with web service applications provides a mechanism for exchanging data openly. The main exchange format for BIM files is Industry Foundation Classes (IFCs). However, the initial problem with IFCs is that they are not intended to store and carry all relevant data for all multi-featured construction processes. Furthermore, not all relevant data can be structured in a single super schema. This papers' methodology focuses on the results of a semi-structured interview of 11 expert respondents, on using cloud computing as integration platform for BIM applications 'Cloud BIM'. The proposed model is not to introduce a new schema in contrast to IFC but to harness the capability of IFC XML and or possibly engage with using Simplified Markup Language (SML) subsets of eXtensible Markup Language (XML) for exchanging partial data to design an integrated platform that would enhance the BIM usability experience for various disciplines in making key design decisions at a relatively early design stage. © 2012 Elsevier B.V.",Article,"Final",Scopus,2-s2.0-84860295399
