PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Shirowzhan, S; Sepasgozar, SME; Li, H; Trinder, J; Tang, PB				Shirowzhan, Sara; Sepasgozar, Samad M. E.; Li, Heng; Trinder, John; Tang, Pingbo			Comparative analysis of machine learning and point-based algorithms for detecting 3D changes in buildings over time using bi-temporal lidar data	AUTOMATION IN CONSTRUCTION																	Li, Heng/B-2821-2015; Tang, Pingbo/I-9534-2012	Li, Heng/0000-0002-3187-9041; M. E. Sepasgozar, Samad/0000-0003-2568-3111; Trinder, John/0000-0003-0165-5685												0926-5805	1872-7891				SEP	2019	105								102841	10.1016/j.autcon.2019.102841								WOS:000474330100018						
J	Magdy, M; Georgy, M; Osman, H; Elsaid, M				Magdy, Mohamed; Georgy, Maged; Osman, Hesham; Elsaid, Moheeb			Delay Analysis Methodologies Used by Engineering and Construction Firms in Egypt	JOURNAL OF LEGAL AFFAIRS AND DISPUTE RESOLUTION IN ENGINEERING AND CONSTRUCTION																														1943-4162	1943-4170				AUG 1	2019	11	3							UNSP 04519006	10.1061/(ASCE)LA.1943-4170.0000293								WOS:000461612200001						
J	Abdelhadi, Y; Dulaimi, MF; Bajracharya, A				Abdelhadi, Yazeed; Dulaimi, Mohammed Fadhil; Bajracharya, Arun			Factors influencing the selection of delay analysis methods in construction projects in UAE	INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT																														1562-3599	2331-2327				JUL 4	2019	19	4					329	340		10.1080/15623599.2018.1435155								WOS:000459716000005						
J	Sepasgozar, SME; Davis, S				Sepasgozar, Samad M. E.; Davis, Steven			Digital Construction Technology and Job-Site Equipment Demonstration: Modelling Relationship Strategies for Technology Adoption	BUILDINGS																		M. E. Sepasgozar, Samad/0000-0003-2568-3111													2075-5309				JUL	2019	9	7							158	10.3390/buildings9070158								WOS:000478645000002						
J	Sepasgozar, SME; Li, H; Shirowzhan, S; Tam, VWY				Sepasgozar, Samad M. E.; Li, Heng; Shirowzhan, Sara; Tam, Vivian W. Y.			Methods for monitoring construction off-road vehicle emissions: a critical review for identifying deficiencies and directions	ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH																	Li, Heng/B-2821-2015	Li, Heng/0000-0002-3187-9041; M. E. Sepasgozar, Samad/0000-0003-2568-3111; Tam, Vivian/0000-0002-1074-8018												0944-1344	1614-7499				JUN	2019	26	16					15779	15794		10.1007/s11356-019-05003-6								WOS:000468977800004	31012071					
J	Zhong, BT; Wu, HT; Li, H; Sepasgozar, S; Luo, HB; He, L				Zhong, Botao; Wu, Haitao; Li, Heng; Sepasgozar, Samad; Luo, Hanbin; He, Ling			A scientometric analysis and critical review of construction related ontology research	AUTOMATION IN CONSTRUCTION																	zhong, botao/AAH-3781-2019; Li, Heng/B-2821-2015; Hanbin, Luo/AAH-7441-2019; li, chengqian/AAH-7343-2019; Bagga, Ankit/AAG-8019-2021	Li, Heng/0000-0002-3187-9041; M. E. Sepasgozar, Samad/0000-0003-2568-3111; Wu, Haitao/0000-0002-4804-3806												0926-5805	1872-7891				MAY	2019	101						17	31		10.1016/j.autcon.2018.12.013								WOS:000461130000002						
J	Shirowzhan, S; Sepasgozar, SME				Shirowzhan, Sara; Sepasgozar, Samad M. E.			Spatial Analysis Using Temporal Point Clouds in Advanced GIS: Methods for Ground Elevation Extraction in Slant Areas and Building Classifications	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																		M. E. Sepasgozar, Samad/0000-0003-2568-3111; Shirowzhan, Sara/0000-0003-1511-3617													2220-9964				MAR 1	2019	8	3							120	10.3390/ijgi8030120								WOS:000464220300007						
J	Abdelmaguid, TF; Elrashidy, W				Abdelmaguid, Tamer F.; Elrashidy, Waleed			Halting decisions for gas pipeline construction projects using AHP: a case study	OPERATIONAL RESEARCH																	Abdelmaguid, Tamer F/C-5607-2015; Abdelmaguid, Tamer/N-5545-2019	Abdelmaguid, Tamer F/0000-0003-1516-6057; Abdelmaguid, Tamer/0000-0003-1516-6057												1109-2858	1866-1505				MAR	2019	19	1					179	199		10.1007/s12351-016-0277-2								WOS:000459380000008						
J	Soomro, FA; Memon, MJ; Chandio, AF; Sohu, S; Soomro, R				Soomro, Faheem Ahmed; Memon, Muhammed Jaffar; Chandio, Abdul Fattah; Sohu, Samiullah; Soomro, Rizwanullah			Causes of Time Overrun in Construction of Building Projects in Pakistan	ENGINEERING TECHNOLOGY & APPLIED SCIENCE RESEARCH																														2241-4487	1792-8036				FEB	2019	9	1					3762	3764										WOS:000458831600014						
J	Chen, GX; Shan, M; Chan, APC; Liu, X; Zhao, YQ				Chen, Gui-Xiang; Shan, Ming; Chan, Albert P. C.; Liu, Xu; Zhao, Yi-Qing			Investigating the causes of delay in grain bin construction projects: the case of China	INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT																	Chan, Albert/I-4650-2012; Shan, Ming/K-8967-2019	Chan, Albert/0000-0002-4853-6440; Shan, Ming/0000-0003-0595-6987												1562-3599	2331-2327				JAN 2	2019	19	1					1	14		10.1080/15623599.2017.1354514								WOS:000453476500001						
J	Budayan, C				Budayan, Cenk			Evaluation of Delay Causes for BOT Projects Based on Perceptions of Different Stakeholders in Turkey	JOURNAL OF MANAGEMENT IN ENGINEERING																	budayan, cenk/AAC-1901-2020	budayan, cenk/0000-0002-8433-2824												0742-597X	1943-5479				JAN	2019	35	1							04018057	10.1061/(ASCE)ME.1943-5479.0000668								WOS:000450404000012						
J	Shirowzhan, S; Sepasgozar, SME; Li, H; Trinder, J				Shirowzhan, Sara; Sepasgozar, Samad M. E.; Li, Heng; Trinder, John			Spatial compactness metrics and Constrained Voxel Automata development for analyzing 3D densification and applying to point clouds: A synthetic review	AUTOMATION IN CONSTRUCTION																	SHIROWZHAN, Sara/L-1917-2019; Li, Heng/B-2821-2015; Sepasgozar, Samad/C-1746-2019	SHIROWZHAN, Sara/0000-0003-1511-3617; Li, Heng/0000-0002-3187-9041; Sepasgozar, Samad/0000-0003-2568-3111; Trinder, John/0000-0003-0165-5685												0926-5805	1872-7891				DEC	2018	96						236	249		10.1016/j.autcon.2018.09.018								WOS:000452345800020						
J	Al Khatib, B; Poh, YS; El-Shafie, A				Al Khatib, Basem; Poh, Yap Soon; El-Shafie, Ahmed			Delay Factors in Reconstruction Projects: A Case Study of Mataf Expansion Project	SUSTAINABILITY																	El-Shafie, Ahmed/J-1799-2014; Yap, Soon Poh/L-2110-2016	El-Shafie, Ahmed/0000-0001-5018-8505; Yap, Soon Poh/0000-0002-2036-9740													2071-1050				DEC	2018	10	12							4772	10.3390/su10124772								WOS:000455338100438						
J	Ji, YB; Qi, L; Liu, Y; Liu, XN; Li, HX; Li, Y				Ji, Yingbo; Qi, Lin; Liu, Yan; Liu, Xinnan; Li, Hong Xian; Li, Yan			Assessing and Prioritising Delay Factors of Prefabricated Concrete Building Projects in China	APPLIED SCIENCES-BASEL																	Li, Hong Xian/ABC-9167-2021	Ji, Yingbo/0000-0002-4706-8550; Li, Hong/0000-0002-5027-2915; L., George Yan/0000-0001-6219-5008													2076-3417				NOV	2018	8	11							2324	10.3390/app8112324								WOS:000451302800314						
